Laikotarpis;Rodiklis;Administracinė teritorija;Amžius (0–14, 65 ir vyresni);Matavimo vienetai;Reikšmė
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;65 ir vyresni;asmenys;29
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;65 ir vyresni;asmenys;29
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;65 ir vyresni;asmenys;30
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;65 ir vyresni;asmenys;31
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;65 ir vyresni;asmenys;32
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;65 ir vyresni;asmenys;33
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kazlų Rūdos sav.;65 ir vyresni;asmenys;33
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;65 ir vyresni;asmenys;20
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;65 ir vyresni;asmenys;20
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;65 ir vyresni;asmenys;21
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;65 ir vyresni;asmenys;21
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;65 ir vyresni;asmenys;22
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;65 ir vyresni;asmenys;22
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;65 ir vyresni;asmenys;22
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;65 ir vyresni;asmenys;23
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;65 ir vyresni;asmenys;23
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;65 ir vyresni;asmenys;23
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;65 ir vyresni;asmenys;25
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;65 ir vyresni;asmenys;25
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;65 ir vyresni;asmenys;25
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;65 ir vyresni;asmenys;25
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;65 ir vyresni;asmenys;25
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;65 ir vyresni;asmenys;26
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;65 ir vyresni;asmenys;27
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;65 ir vyresni;asmenys;28
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės sav.;65 ir vyresni;asmenys;29
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;65 ir vyresni;asmenys;
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;65 ir vyresni;asmenys;
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;65 ir vyresni;asmenys;
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;65 ir vyresni;asmenys;
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;65 ir vyresni;asmenys;
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;65 ir vyresni;asmenys;
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;65 ir vyresni;asmenys;
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;65 ir vyresni;asmenys;
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;65 ir vyresni;asmenys;
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;65 ir vyresni;asmenys;
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;65 ir vyresni;asmenys;
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;65 ir vyresni;asmenys;
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;65 ir vyresni;asmenys;
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;65 ir vyresni;asmenys;
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;65 ir vyresni;asmenys;
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;65 ir vyresni;asmenys;
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;65 ir vyresni;asmenys;
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;65 ir vyresni;asmenys;
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Marijampolės r. sav.;65 ir vyresni;asmenys;
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;65 ir vyresni;asmenys;30
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;65 ir vyresni;asmenys;31
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;65 ir vyresni;asmenys;31
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;65 ir vyresni;asmenys;31
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;65 ir vyresni;asmenys;31
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;65 ir vyresni;asmenys;32
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;65 ir vyresni;asmenys;33
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;65 ir vyresni;asmenys;34
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;65 ir vyresni;asmenys;34
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;65 ir vyresni;asmenys;33
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;65 ir vyresni;asmenys;33
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;65 ir vyresni;asmenys;33
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;65 ir vyresni;asmenys;33
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;65 ir vyresni;asmenys;32
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;65 ir vyresni;asmenys;32
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;65 ir vyresni;asmenys;32
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;65 ir vyresni;asmenys;32
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;65 ir vyresni;asmenys;33
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šakių r. sav.;65 ir vyresni;asmenys;33
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;65 ir vyresni;asmenys;25
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;65 ir vyresni;asmenys;26
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;65 ir vyresni;asmenys;26
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;65 ir vyresni;asmenys;27
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;65 ir vyresni;asmenys;27
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;65 ir vyresni;asmenys;27
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;65 ir vyresni;asmenys;28
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;65 ir vyresni;asmenys;28
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;65 ir vyresni;asmenys;29
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;65 ir vyresni;asmenys;28
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;65 ir vyresni;asmenys;30
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;65 ir vyresni;asmenys;30
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;65 ir vyresni;asmenys;30
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;65 ir vyresni;asmenys;30
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;65 ir vyresni;asmenys;31
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;65 ir vyresni;asmenys;31
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;65 ir vyresni;asmenys;33
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;65 ir vyresni;asmenys;34
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilkaviškio r. sav.;65 ir vyresni;asmenys;35
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;65 ir vyresni;asmenys;30
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;65 ir vyresni;asmenys;31
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;65 ir vyresni;asmenys;31
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;65 ir vyresni;asmenys;32
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;65 ir vyresni;asmenys;32
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;65 ir vyresni;asmenys;33
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;65 ir vyresni;asmenys;34
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;65 ir vyresni;asmenys;35
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;65 ir vyresni;asmenys;35
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;65 ir vyresni;asmenys;35
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;65 ir vyresni;asmenys;36
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;65 ir vyresni;asmenys;37
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;65 ir vyresni;asmenys;37
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;65 ir vyresni;asmenys;37
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;65 ir vyresni;asmenys;38
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;65 ir vyresni;asmenys;38
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;65 ir vyresni;asmenys;39
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;65 ir vyresni;asmenys;40
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Biržų r. sav.;65 ir vyresni;asmenys;41
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;65 ir vyresni;asmenys;30
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;65 ir vyresni;asmenys;31
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;65 ir vyresni;asmenys;31
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;65 ir vyresni;asmenys;32
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;65 ir vyresni;asmenys;32
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;65 ir vyresni;asmenys;33
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;65 ir vyresni;asmenys;34
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;65 ir vyresni;asmenys;35
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;65 ir vyresni;asmenys;35
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;65 ir vyresni;asmenys;35
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;65 ir vyresni;asmenys;35
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;65 ir vyresni;asmenys;35
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;65 ir vyresni;asmenys;35
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;65 ir vyresni;asmenys;36
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;65 ir vyresni;asmenys;36
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;65 ir vyresni;asmenys;36
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;65 ir vyresni;asmenys;37
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;65 ir vyresni;asmenys;38
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kupiškio r. sav.;65 ir vyresni;asmenys;39
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;65 ir vyresni;asmenys;17
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;65 ir vyresni;asmenys;18
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;65 ir vyresni;asmenys;19
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;65 ir vyresni;asmenys;20
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;65 ir vyresni;asmenys;21
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;65 ir vyresni;asmenys;22
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;65 ir vyresni;asmenys;23
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;65 ir vyresni;asmenys;24
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;65 ir vyresni;asmenys;24
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;65 ir vyresni;asmenys;25
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;65 ir vyresni;asmenys;27
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;65 ir vyresni;asmenys;28
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;65 ir vyresni;asmenys;29
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;65 ir vyresni;asmenys;29
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;65 ir vyresni;asmenys;30
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;65 ir vyresni;asmenys;31
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;65 ir vyresni;asmenys;33
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;65 ir vyresni;asmenys;34
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio m. sav.;65 ir vyresni;asmenys;35
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;65 ir vyresni;asmenys;26
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;65 ir vyresni;asmenys;26
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;65 ir vyresni;asmenys;26
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;65 ir vyresni;asmenys;26
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;65 ir vyresni;asmenys;27
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;65 ir vyresni;asmenys;27
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;65 ir vyresni;asmenys;27
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;65 ir vyresni;asmenys;28
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;65 ir vyresni;asmenys;28
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;65 ir vyresni;asmenys;28
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;65 ir vyresni;asmenys;28
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;65 ir vyresni;asmenys;28
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;65 ir vyresni;asmenys;28
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;65 ir vyresni;asmenys;29
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;65 ir vyresni;asmenys;29
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;65 ir vyresni;asmenys;29
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;65 ir vyresni;asmenys;30
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;65 ir vyresni;asmenys;31
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Panevėžio r. sav.;65 ir vyresni;asmenys;31
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;65 ir vyresni;asmenys;26
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;65 ir vyresni;asmenys;28
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;65 ir vyresni;asmenys;28
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;65 ir vyresni;asmenys;29
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;65 ir vyresni;asmenys;29
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;65 ir vyresni;asmenys;30
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;65 ir vyresni;asmenys;31
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;65 ir vyresni;asmenys;31
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;65 ir vyresni;asmenys;31
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;65 ir vyresni;asmenys;31
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;65 ir vyresni;asmenys;31
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;65 ir vyresni;asmenys;31
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;65 ir vyresni;asmenys;31
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;65 ir vyresni;asmenys;31
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;65 ir vyresni;asmenys;32
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;65 ir vyresni;asmenys;33
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;65 ir vyresni;asmenys;34
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;65 ir vyresni;asmenys;35
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Pasvalio r. sav.;65 ir vyresni;asmenys;35
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;65 ir vyresni;asmenys;31
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;65 ir vyresni;asmenys;32
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;65 ir vyresni;asmenys;33
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;65 ir vyresni;asmenys;33
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;65 ir vyresni;asmenys;34
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;65 ir vyresni;asmenys;34
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;65 ir vyresni;asmenys;35
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;65 ir vyresni;asmenys;35
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;65 ir vyresni;asmenys;36
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;65 ir vyresni;asmenys;36
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;65 ir vyresni;asmenys;36
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;65 ir vyresni;asmenys;36
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;65 ir vyresni;asmenys;36
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;65 ir vyresni;asmenys;36
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;65 ir vyresni;asmenys;35
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;65 ir vyresni;asmenys;36
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;65 ir vyresni;asmenys;37
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;65 ir vyresni;asmenys;38
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Rokiškio r. sav.;65 ir vyresni;asmenys;39
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Akmenės r. sav.;65 ir vyresni;asmenys;23
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Akmenės r. sav.;65 ir vyresni;asmenys;24
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Akmenės r. sav.;65 ir vyresni;asmenys;24
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Akmenės r. sav.;65 ir vyresni;asmenys;25
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Akmenės r. sav.;65 ir vyresni;asmenys;26
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Akmenės r. sav.;65 ir vyresni;asmenys;27
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Akmenės r. sav.;65 ir vyresni;asmenys;27
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Akmenės r. sav.;65 ir vyresni;asmenys;28
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Akmenės r. sav.;65 ir vyresni;asmenys;29
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Akmenės r. sav.;65 ir vyresni;asmenys;29
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Akmenės r. sav.;65 ir vyresni;asmenys;31
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Akmenės r. sav.;65 ir vyresni;asmenys;32
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Akmenės r. sav.;65 ir vyresni;asmenys;32
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Akmenės r. sav.;65 ir vyresni;asmenys;33
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Akmenės r. sav.;65 ir vyresni;asmenys;34
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Akmenės r. sav.;65 ir vyresni;asmenys;35
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Akmenės r. sav.;65 ir vyresni;asmenys;37
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Akmenės r. sav.;65 ir vyresni;asmenys;38
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Akmenės r. sav.;65 ir vyresni;asmenys;39
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Joniškio r. sav.;65 ir vyresni;asmenys;23
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Joniškio r. sav.;65 ir vyresni;asmenys;24
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Joniškio r. sav.;65 ir vyresni;asmenys;24
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Joniškio r. sav.;65 ir vyresni;asmenys;25
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Joniškio r. sav.;65 ir vyresni;asmenys;26
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Joniškio r. sav.;65 ir vyresni;asmenys;26
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Joniškio r. sav.;65 ir vyresni;asmenys;27
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Joniškio r. sav.;65 ir vyresni;asmenys;27
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Joniškio r. sav.;65 ir vyresni;asmenys;28
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Joniškio r. sav.;65 ir vyresni;asmenys;28
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Joniškio r. sav.;65 ir vyresni;asmenys;29
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Joniškio r. sav.;65 ir vyresni;asmenys;30
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Joniškio r. sav.;65 ir vyresni;asmenys;30
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Joniškio r. sav.;65 ir vyresni;asmenys;30
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Joniškio r. sav.;65 ir vyresni;asmenys;31
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Joniškio r. sav.;65 ir vyresni;asmenys;32
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Joniškio r. sav.;65 ir vyresni;asmenys;33
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Joniškio r. sav.;65 ir vyresni;asmenys;35
